name,address,type,Phone,url,latitude,longitude,time,Description,Afterschool
Blessed Solutions,1205 Murchison Rd Fayetteville NC 28301,Faith-based,(910) 423-2220,https://www.blessed-solutions.org,35.07157768,-78.89466394,Daycamp,,
Blue Star Camps,179 Blue Star Way Hendersonville NC 28739,Faith-based,(828) 692-3591,https://www.bluestarcamps.com,35.24595624,-82.53687671,Overnight,Ages 6-16; Jewish,
Camp Andrew Inc,225 Woodville Rd Mt Airy NC 27030,Faith-based,(336) 000-1111,https://www.campandrew.org,36.5038016,-80.47709479,Overnight,,
Camp Canaan,"3111 Sand Island Rd, Rock Hill, SC 29732",Faith-based,(803) 327-6932,https://campcanaan.org,35.01307745,-81.00082372,Overnight,Ages 5-16,
Camp Canaan,"3111 Sand Island Rd, Rock Hill, SC 29732",Faith-based,(803) 327-6932,https://campcanaan.org,35.01307745,-81.00082372,Daycamp,Ages 5-16,
Camp Chestnut Ridge,4300 Camp Chestnut Ridge Rd Efland NC 27243,Faith-based,(919) 304-2178,https://www.campchestnutridge.org,36.03824005,-79.1928743,Overnight,Grades  2-12,
Camp Chestnut Ridge,4300 Camp Chestnut Ridge Rd Efland NC 27243,Faith-based,(919) 304-2178,https://www.campchestnutridge.org,36.03824005,-79.1928743,Daycamp,Grades PreK-12,
Camp Dixie,373 Bladen Union Church Rd Fayetteville NC 28306,Faith-based,(910) 865-5180,https://www.campdixie.com,34.81474546,-78.83969175,Overnight,Ages 4-18,
Camp Greystone,21 Camp Greystone Ln Zirconia NC 28790,Faith-based,(828) 693-3182,https://www.campgreystone.com,35.22106311,-82.43567811,Overnight,Grades 1-11,
Camp Guilrock,531 Beville Rd Reidsville NC 27320,Faith-based,(336) 342-1951,https://www.campguilrock.org,36.26473769,-79.70790414,Daycamp,Grades 1-6,
Camp Henry,25 Wormy Chestnut Ln Canton NC 28716,Faith-based,(828) 475-9264,https://www.lakelogan.org,35.4081648,-82.92784741,Overnight,Grades 1-11; Family camp,
Camp Highlander,42 Dalton Rd Horse Shoe NC 28742,Faith-based,(828) 891-7721,https://www.camphighlander.com,35.37291236,-82.61580813,Overnight,Ages 6-16,
Camp Hope of Greensboro LLC,4104 Short Farm Rd Greensboro NC 27406,Faith-based,(336) 000-1111,https://www.camphopegso.com,36.00060671,-79.82640993,Daycamp,Grades K-5,
Camp Judea,48 Camp Judaea Dr Hendersonville NC 28792,Faith-based,(828) 685-8841,https://www.campjudaea.org,35.37624643,-82.38294416,Overnight,Grades 2-11; Jewish,
Camp JuMP,"Fine Arts Center, 333 Jeremiah Blvd, Charlotte, NC 28262",Faith-based,(704) 596-4856,https://www.campjumpcharlotte.com,35.2848025,-80.78354723,Daycamp,Theatre training and performance,
Camp Kahdalea/Chosatonga,2500 Morgan Mill Rd Brevard NC 28712,Faith-based,(828) 884-6834,https://www.kahdalea.com,35.17719516,-82.82559193,Overnight,Ages 7-15,
Camp Kanuga,130 Kanuga Chapel Dr Hendersonville NC 28739,Faith-based,(828) 692-9136,https://www.kanuga.org,35.26410439,-82.51692413,Daycamp,Grades 1-6th; Family camp,
Camp Kerr Lake,3111 Flemingtown Rd Henderson NC 27537,Faith-based,(252) 436-2255,https://www.shilohfamilyministries.org,36.43367005,-78.34949668,Overnight,Youth,
Camp Linn Haven,1308 Linville Falls Hwy Linville NC 28646,Faith-based,(828) 733-8885,https://www.camplinnhaven.org,36.0529496,-81.88577839,Overnight,Grades 6-8th; Family week,
Camp Living Water,1510 W Deep Creek Rd Bryson City NC 28713,Faith-based,(828) 488-6012,https://www.camplivingwater.com,35.45309609,-83.44299046,Daycamp,Ages 6-12,
Camp Living Water,1510 W Deep Creek Rd Bryson City NC 28713,Faith-based,(828) 488-6012,https://www.camplivingwater.com,35.45309609,-83.44299046,Overnight,Ages 7-17,
Camp Lurecrest,207 Charlotte Dr Lake Lure NC 28746,Faith-based,(704) 841-2701,https://www.camplurecrest.org,35.42184353,-82.19059821,Overnight,Grades 3-12,
Camp Manna Ministries Inc,243 Gibson Way Mocksville NC 27028,Faith-based,(336) 284-2267,https://www.campmanna.org,35.80484942,-80.53299135,Daycamp,Grades K-8,
Camp Mccall,1040 Camp Mccall Rd Bostic NC 28018,Faith-based,(828) 245-0013,https://www.campmccall.org,35.55721221,-81.81738558,Overnight,Grades 1-12,
Camp Moo Gung Hwa,5408 Duraleigh Rd Raleigh NC 27612,Faith-based,(919) 605-2743,https://www.koreanculturecamp.net,35.8506244,-78.71099128,Daycamp,Grades PreK-9,
Camp Oak Hill & Retreat Ctr,1528 Oak Hill Rd Oxford NC 27565,Faith-based,(919) 782-2888,https://www.campoakhill.org,36.48726774,-78.72051775,Overnight,Grades 3-11,
Camp Rock,7224 Park Road Charlotte NC 28210,Faith-based,(704) 716-8700,https://www.foresthill.org/camprock/,35.13498744,-80.85342562,Daycamp,Grades 3-5,
Camp Rockfish,226 Camp Rockfish Rd Parkton NC 28371,Faith-based,(910) 425-3529,https://www.camprockfish.org,34.95094855,-79.05143381,Daycamp,Ages 5-15,
Camp Rockfish,226 Camp Rockfish Rd Parkton NC 28371,Faith-based,(910) 425-3529,https://www.camprockfish.org,34.95094855,-79.05143381,Overnight,Ages 5-15; Family camp,
Camp Timbrel,1023 Browning Rd Greensboro NC 27410,Faith-based,(336) 000-1111,https://www.camptimbrel.org/?fbclid=IwY2xjawJOPzFleHRuA2FlbQIxMAABHZeiybOdDaN0AMV3XaI7XBx6z1aULVc0AreRuJ2UHW-iew0Ijcf65hFofQ_aem_FaVarWZWAsxINUG09hI55w,36.09546927,-79.8445114,Overnight,Grades 6-8; Jewish camp for girls,
Camp Willow Springs,102 Camp Willow Springs Dr Littleton NC 27850,Faith-based,(252) 586-0728,https://www.campwillowsprings.org,36.49238904,-77.90823685,Overnight,Grades 3-6,
Carolina Bible Camp & Retreat,1988 Jericho Church Rd Mocksville NC 27028,Faith-based,(336) 492-7802,https://www.carolinabiblecamp.org,35.86780775,-80.60333421,Overnight,Ages 9-19,
Crowders Ridge Camp," 130 Camp Rotary Rd, Gastonia, NC 28052",Faith-based,(704) 915-1096,https://www.crowderscamps.com,35.235551,-81.264484,Overnight,,
Crowders Ridge Camp," 130 Camp Rotary Rd, Gastonia, NC 28052",Faith-based,(704) 915-1096,https://www.crowderscamps.com,35.235551,-81.264484,Daycamp,Grades K-6,
Crowders Springs Camp,"4914 Linwood Road, Kings Mountain, NC 28086",Faith-based,(704) 915-1096,https://www.crowderscamps.com/explore-springs,35.24865399,-81.27248997,Overnight,,
Crowders Springs Camp,"4914 Linwood Road, Kings Mountain, NC 28086",Faith-based,(704) 915-1096,https://www.crowderscamps.com/explore-springs,35.24865399,-81.27248997,Daycamp,Grades K-6,
Don Lee Camp & Retreat Ctr,315 Camp Don Lee Rd Arapahoe NC 28510,Faith-based,(252) 249-1106,https://donleecenter.org,34.97585837,-76.79123328,Overnight,Ages 7-18,
Harvest Time Bible Camp,744 Missionary Plantation Rd Ellenboro NC 28040,Faith-based,(828) 245-6681,http://www.harvesttimebiblecamp.org,35.45916034,-81.73809005,Daycamp,,
Holston Presbytery Camp-Rtrt,6993 Hickory Nut Gap Rd Banner Elk NC 28604,Faith-based,(844) 465-7866,https://www.holstoncenter.org,36.13951751,-81.89058789,Daycamp,Grades 1-8,
Holston Presbytery Camp-Rtrt,6993 Hickory Nut Gap Rd Banner Elk NC 28604,Faith-based,(844) 465-7866,https://www.holstoncenter.org,36.13951751,-81.89058789,Overnight,Grades 1-12,
Johns River Valley Camp,6211 US Highway 90 Collettsville NC 28611,Faith-based,(828) 754-7067,https://www.jrvc.org,36.01073377,-81.69041933,Overnight,Grades 3-12,
Merriwood Christian,9640 Center Grove Church Rd Clemmons NC 27012,Faith-based,(336) 766-5151,https://www.campmerriwood.net,36.03400403,-80.43551574,Daycamp,Grades 1-4,
Monroe Camp & Retreat Ctr,24501 Camp Monroe Rd Laurel Hill NC 28351,Faith-based,(910) 276-1654,https://www.monroecamp.org,34.8877196,-79.48580404,Daycamp,Ages 6-14,
Monroe Camp & Retreat Ctr,24501 Camp Monroe Rd Laurel Hill NC 28351,Faith-based,(910) 276-1654,https://www.monroecamp.org,34.8877196,-79.48580404,Overnight,Ages 8-16,
Mountain,841 Highway 106 Highlands NC 28741,Faith-based,(828) 526-5838,https://www.themountainrlc.org,35.031281,-83.255956,Daycamp,Age 6-17,
Mountain,841 Highway 106 Highlands NC 28741,Faith-based,(828) 526-5838,https://www.themountainrlc.org,35.031281,-83.255956,Overnight,Age 9-17,
Mountain Top Youth Camp Inc,1460 Mackay Ln Pinnacle NC 27043,Faith-based,(336) 351-3485,https://www.mountaintopyouthcamp.org,36.37934811,-80.37801264,Daycamp,Ages 6-18,
Mt Shepherd Retreat Ctr,1045 Mount Shepherd Road Ext Asheboro NC 27205,Faith-based,(336) 629-4085,https://www.mtshepherd.org,35.75582894,-79.96171535,Overnight,Grades 3-11,
Mt Shepherd Retreat Ctr,1045 Mount Shepherd Road Ext Asheboro NC 27205,Faith-based,(336) 629-4085,https://www.mtshepherd.org,35.75582894,-79.96171535,Overnight,Grades 3-11,
New Hope Camp & Conference Center,4805 NC Highway 86 Chapel Hill NC 27514,Faith-based,(919) 942-4716,https://www.newhopeccc.org,36.0117753,-79.0715277,Daycamp,Grades K-8,
New Hope Camp & Conference Ctr,4805 NC Highway 86 Chapel Hill NC 27514,Faith-based,(919) 942-4716,https://www.newhopeccc.org,36.0115868,-79.07005453,Overnight,Grades 3-9,
New Life Camp,9927 Falls of Neuse Rd Raleigh NC 27614,Faith-based,(919) 847-0764,https://www.newlifecamp.com,35.90939866,-78.59962896,Overnight,Ages 8-18,
New Life Camp,9927 Falls of Neuse Rd Raleigh NC 27614,Faith-based,(919) 847-0764,https://www.newlifecamp.com,35.90939866,-78.59962896,Daycamp,Ages 4-10,
Roanoke Christian Svc Camp,389 Christian Service Camp Rd Washington NC 27889,Faith-based,(252) 946-5329,https://www.roanokechristiancamp.com,35.5161555,-77.00914958,Overnight,Ages 6-17,
Roanoke Christian Svc Camp,389 Christian Service Camp Rd Washington NC 27889,Faith-based,(252) 946-5329,https://www.roanokechristiancamp.com,35.5161555,-77.00914958,Daycamp,Ages 4-6,
South Mountain Baptist Camp,3558 Baptist Camp Rd Connelly Springs NC 28612,Faith-based,(828) 437-8788,https://www.southmountainbaptistcamp.com,35.60915448,-81.5980923,Overnight,Grades 1-12,
South Mountain Christian Camp,1129 S Mountain Rd Bostic NC 28018,Faith-based,(828) 245-3322,https://www.southmountainchristiancamp.org,35.40408612,-81.78868233,Overnight,Ages 7-15,
The Salvation Army Red Shield Youth Center of Alamance County,"807 Stockard St, Burlington, NC 27215",Faith-based, (336) 226-4462,https://southernusa.salvationarmy.org/alamance/red-shield-youth-center,36.0852468,-79.4245212,Daycamp,Ages 6-14,
Truett Conference Ctr & Camp,177 Truett Ln Hayesville NC 28904,Faith-based,(828) 389-8828,https://www.truettcamp.org,35.0380466,-83.84508934,Overnight,Ages 7-17,
TVR Christian Camp & Retreat,216 Tvr Loop Rd Plumtree NC 28664,Faith-based,(828) 765-7860,https://www.tvr.org,36.020194,-82.006705,Overnight,Grades 3-12,
United Methodist Camp Tekoa,211 Thomas Rd Hendersonville NC 28739,Faith-based,(828) 692-6516,https://www.camptekoa.org,35.26269088,-82.50554963,Daycamp,Ages 6-11,
United Methodist Camp Tekoa,211 Thomas Rd Hendersonville NC 28739,Faith-based,(828) 692-6516,https://www.camptekoa.org,35.26269088,-82.50554963,Overnight,Ages 7-17,
Whisper Mountain Ministries,2240 Long Creek Rd Robbinsville NC 28771,Faith-based,(828) 479-2993,https://www.whispermountain.org,35.28230971,-83.81973821,Overnight,Ages 7-12,
Wilds,1000 Wilds Ridge Rd Brevard NC 28712,Faith-based,(828) 884-7811,https://www.wilds.org,35.08873805,-82.86612925,Overnight,Junior Booth Camp; Summer teen camp; Family Camp; Mother Daughter; Father Son,
Wilds Christian Camp,Old Toxaway Rd Brevard NC 28712,Faith-based,(828) 884-7811,https://www.wilds.org,35.085785,-82.870598,Overnight,Ages 12 and up,
Youth Camps For Christ,190 Mangum Ln Littleton NC 27850,Faith-based,(252) 586-4665,https://www.campwillowrun.org,36.49200386,-77.91433997,Overnight,Grades 7-12,
Clapping Hands Farm,3348 Alston Chapel Rd Pittsboro NC 27312,Other,(919) 542-5599,https://www.clappinghandsfarm.com,35.7092397,-79.24892197,Daycamp,Ages 7-13,
Ashton Farm Summer Day Camp,5645 US Highway 117 S Burgaw NC 28425,Other,(910) 259-2412,http://www.ashtonfarmcamp.com,34.47547601,-77.88779145,Daycamp,Ages 5-12,
Camp Crestridge For Girls,105 Balsam Rd Black Mountain NC 28711,Girls,(828) 669-2613,https://girls.ridgecrestcamps.com,35.205788,-80.554009,Overnight,Grades 1-12,
Camp Duncan,676 Hight Rd Aberdeen NC 28315,Girls,(910) 944-3077,https://www.campduncannc.org,35.10715255,-79.41015363,Overnight,Ages 8-15,
Camp Ginger Cascades,1963 Cascade Ln Lenoir NC 28645,Girls,(828) 757-3204,https://www.girlscoutsp2p.org/en/members/for-girl-scouts/camp-and-outdoors.html,35.79977493,-81.41787221,Overnight,Grades 2-12,
Camp Ginger Cascades,1963 Cascade Ln Lenoir NC 28645,Girls,(828) 757-3204,https://www.girlscoutsp2p.org/en/members/for-girl-scouts/camp-and-outdoors.html,35.79977493,-81.41787221,Daycamp,Grades 1-5,
Camp Glen Arden For Girls,1261 Cabin Creek Rd Zirconia NC 28790,Girls,(828) 692-8362,https://www.campglenarden.com,35.21468087,-82.47800462,Overnight,Grades 1-11th,
Camp Green Cove,617 Green Cove Rd Zirconia NC 28790,Girls,(828) 692-6355,https://www.greencove.com,35.21288479,-82.42947103,Daycamp,Ages 6-17,
Camp Illahee,500 Illahee Rd Brevard NC 28712,Girls,(828) 883-2181,https://www.campillahee.com,35.20979317,-82.74854326,Overnight,Grades 2-11,
Camp Merrie-Woode,100 Merrie Woode Rd Sapphire NC 28774,Girls,(828) 743-3300,https://www.merriewoode.com,35.131714,-83.046,Overnight,Summer camp for 1-11th grade,
Camp Rockbrook,152 Parkview Dr Brevard NC 28712,Girls,(828) 884-4545,https://www.rockbrookcamp.com,35.22893335,-82.72483906,Overnight,Grades K-10,
Camp Ton A Wandah HNDRSNVLL,300 W Ton A Wondah Rd Hendersonville NC 28739,Girls,(828) 692-4251,https://www.camptonawandah.com,35.26165814,-82.47623065,Overnight,Grades K-12,
Camper Cargo,100 Lake Falls Rd Hendersonville NC 28739,Girls,(828) 693-7782,https://www.camptonawandah.com,34.985866,-80.73897,Overnight,Summer camp for K-11th grade; Mother daughter weeked,
Keystone Camp,101 Keystone Camp Rd Brevard NC 28712,Girls,(828) 884-9125,https://www.keystonecamp.com,35.22796417,-82.75077818,Overnight,Summer camp for 1-8th grade; Mother Daughter weekend,
Rockbrook Camp For Girls,368 Castle Rock Drive Brevard NC 28712,Girls,(828) 884-6151,https://www.rockbrookcamp.com,35.186577,-82.722816,Overnight,Ages K-10,
Angel Island Fun Park,"924 NE Maynard Rd, Cary, NC 27513",Indoor playground,919-234-1340,https://angelislandusa.com,35.8026338,-78.77025823,Daycamp,,
Angel Island Fun Park,"3330 Westgate Dr, Durham, NC 27707",Indoor playground, 919-808-5939,https://angelislandusa.com,35.96751776,-78.96129796,Daycamp,,
Island Time Drop-n-Play,"222 Winner Avenue Carolina Beach, NC 28428",Indoor playground,(910) 599-3741,https://islandtimeplay.com,34.0400506,-77.89550899,Daycamp,Ages 4 and up,
Pretty Princess Play Palace,"11014 Monroe Rd, Matthews, NC 28105",Indoor playground,(980) 339-5921,https://prettyprincessplaypalace.com,35.13123385,-80.73500774,Daycamp,Ages 4 and up,
Romp n Roll,"10020 Edison Square NW, Ste. 201 / 202, Concord, NC 28027",Indoor playground,980-981-6616,https://rompnroll.com,35.40210293,-80.75997351,Daycamp,Ages 2-5,
Romp n Roll,"6210 Plantation Center Drive Suite 101, Raleigh, NC 27616",Indoor playground,919-615-0819,https://rompnroll.com,35.87186609,-78.58342493,Daycamp,Ages 2-5,
Romp n Roll,"3611 Mt Holly-Huntersville Rd Suite 207, Charlotte, NC 28216",Indoor playground,704-837-0806,https://rompnroll.com,35.325089,-80.946328,Daycamp,Ages 2-5,
The Fun Factory,"120 N Church St Salisbury, Rowan County 28144",Indoor playground,(980) 565-5494,https://www.thefunfactorydowntown.com,35.66857164,-80.47077667,Daycamp,,
The Wonder Lab,"3709-A University Drive Durham, NC 27707",Indoor playground,919-213-8527,https://www.wonderlabdurham.com,35.96690868,-78.94960001,Daycamp,Ages 3-5,
Uwharrie Play Oasis,"805 N 1st Street Albemarle, NC 28001",Indoor playground, (704) 550-5206,https://linktr.ee/uwharrieplayoasis,35.36312499,-80.19872802,Daycamp,Ages 5-12,
Asheville Museum of Science: AMOS,"43 Patton Ave Asheville, NC 28801",Museum,(828) 254-7162,https://ashevillescience.org/explore/,35.59476878,-82.55336398,Daycamp,Grades K-5,
Catawba Science Center,"243 3rd Ave NE, Hickory, NC 28601",Museum,(828) 322-8169,https://catawbascience.org,35.73558388,-81.33451541,Daycamp,Grades PreK-9,
Discovery Place,105 Gilead Rd Huntersville NC 28078,Museum,(704) 327-2189,https://visit.discoveryplace.org/discoveryplacekidshuntersvillesummercamps/events,35.41073125,-80.84357363,Daycamp,Grades PreK-2nd grade,
Fascinate-U Childrens Museum,"116 Green Street Fayetteville, NC 28301",Museum,910-829-9171,https://www.fascinate-u.com,35.05289547,-78.8780769,Daycamp,Pre-K,
Greensboro Science Center,"4301 Lawndale Drive, Greensboro, NC 27455",Museum,336-288-3769,https://www.greensboroscience.org/education/2025-summer-camps/,36.130366,-79.834014,Daycamp,Ages 5-12,
Hands On Children Museum,318 N Main St Hendersonville NC 28792,Museum,(828) 697-8333,https://www.handsonwnc.org,35.31606674,-82.46001054,Daycamp,Ages 4-8,
Kaleideum,400 W Hanes Mill Rd Winston Salem NC 27105,Museum,(336) 723-9111,https://www.kaleideum.org,36.18463641,-80.28206748,Daycamp,Grades PreK-7th,
Kidzu Childrens Museum,201 S Estes Dr Chapel Hill NC 27514,Museum,(919) 933-1455,https://www.kidzuchildrensmuseum.org,35.92647759,-79.02802586,Daycamp,Ages 4-8,
Miriam P. Brenner Childrens Museum,"220 N Church St, Greensboro, NC 27401",Museum, (336) 574-2898,https://mbcmuseum.com,36.07436735,-79.78661262,Daycamp,Ages 4-10,
The Childrens Museum of Wilmington,"116 Orange St. Wilmington, NC",Museum,910.254.3534,https://www.playwilmington.org,34.23279872,-77.94816049,Daycamp,Ages 5-9,
"Zing Zumm, Childrens Museum of Jacksonville","625 New Bridge St, Jacksonville, NC",Museum,910.650.2769,https://zingzumm.org,34.74983759,-77.42418023,Daycamp,Ages 5-10,
Camp Spring Creek,774 Spring Creek Rd Bakersville NC 28705,Other,(828) 688-1000,https://www.campspringcreek.org,36.04048492,-82.08388952,Overnight,Ages 7-15,
Game Camp Nation,"4808 Sharon Rd, Charlotte, NC 28210",Other,(888) 663-9633,https://www.gamecamp.com,35.1463072,-80.83237713,Daycamp,,
Connestee Cove,301 Gwynn Valley Trl Brevard NC 28712,Other,(828) 885-2900,https://www.gwynnvalley.com,35.170145,-82.740212,Overnight,Grades K-10,
Nature Explorers,"2713 Mt Sinai Rd, Chapel Hill, NC 27514",Other, (984) 322-0190,https://www.natureexplorersnc.org/home,35.98430035,-79.05689113,Daycamp,Ages 5-12,
Buffalo Cove Outdoor Edu Ctr,1899 Cool Springs Pl Lenoir NC 28645,Other,(828) 758-7077,https://www.buffalocove.com,36.09411898,-81.5139863,Overnight,Ages 8-17,
Camp Cannon,"5801 Poplar Tent Rd, Concord, NC 28027",Other,(704) 721-7198,https://www.cannonschool.org/cannon-life/camp-cannon,35.4042211,-80.6707978,Daycamp," Arts & Academics, College Prep, SciTech, and Sports for students from ages 4 to 18",
Camp Cedar Cliff,5 Porters Cove Rd Asheville NC 28805,Other,(828) 450-3331,https://www.campcedarcliff.org,35.57846694,-82.46344332,Overnight,Grades 2-10,
Camp Cedar Cliff,5 Porters Cove Rd Asheville NC 28805,Other,(828) 450-3331,https://www.campcedarcliff.org,35.57846694,-82.46344332,Daycamp,Grades K-5th,
Camp Flintlock,1580 King Mill Rd Four Oaks NC 27524,Other,(919) 938-1776,https://www.campflintlock.com,35.48233304,-78.48976271,Overnight,Ages 9-15,
Camp Flintlock,1580 King Mill Rd Four Oaks NC 27524,Other,(919) 938-1776,https://www.campflintlock.com,35.48233304,-78.48976271,Daycamp,Ages 7-13,
Camp Greyrock,337 Camp Rainbow Rd Boone NC 28607,Other,(828) 963-4680,https://www.campgreyrock.com,36.15927832,-81.77116314,Overnight,Ages 9-16,
Camp Pinewood,300 Orrs Camp Rd Hendersonville NC 28792,Other,(828) 692-6239,https://www.camppinewood.net,35.33523081,-82.44122786,Overnight,Grades 1-11,
Camp Pinnacle,1 Wolfe Lake Dr Hendersonville NC 28739,Other,(828) 692-2677,https://www.camppinnacle.com,35.26884148,-82.49439322,Overnight,Summer camp for 1-11th grade,
Camp Riverlea For Children,8302 S Lowell Rd Bahama NC 27503,Other,(919) 477-8739,https://www.campriverlea.com,36.14986167,-78.94624383,Daycamp,Grades K-7,
Camp Wayfarer,1 Red Bird Song Rd Flat Rock NC 28731,Other,(828) 696-9000,https://www.campwayfarer.com,35.24366873,-82.40055225,Overnight,Summer camp for K-11th grade,
Camps on Campus at UNC Charlotte,"9201 University City Blvd, Charlotte, NC 28223",Other,(704) 687-8900,https://summercamps.charlotte.edu,35.30649445,-80.7349705,Daycamp,Grades 1-12,
Central Piedmont Community College Summer Camps,"1112 Charlottetowne Ave, Charlotte, NC 28204",Other, (704) 330-6035,https://youth.cpcc.edu,35.21476384,-80.82971676,Daycamp,Grades 4-12,
Charlotte Preparatory School," 212 Boyce Rd, Charlotte, NC 28211",Other,(704) 366-5994,https://charlotteprep.org/community/summer-camp?gad_source=1&gbraid=0AAAAAoo7gb8YUTE-ExnIrdBmdem6S0jk4&gclid=Cj0KCAjwvr--BhB5Ei0Ad5YbXmaQUJn_Ohzw5wMdYJbMDca9Nj5ZgxadHBUlo_iEyj-zp35ShpoIp1kaAn9QEALw_wcB,35.14712695,-80.77009598,Daycamp,Grades K-8,
Eagles Nest Foundation,705 Manly St Winston Salem NC 27101,Other,(336) 761-1040,https://www.enf.org,36.10160953,-80.25789675,Overnight,Grades K-9,
Good Times Day Camp LLC,3717 W Vernon Ave Kinston NC 28504,Other,(252) 000-1111,https://www.goodtimesdaycamp.org,35.26417718,-77.63947339,Daycamp,Ages 5 and up,
